id,social-security-number,house-number,age-group,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country-code,native-country,class
8616,830617145,8732,2,self-emp-inc,270079,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,3,USA,united-states,1
21982,151595184,1894,3,local-gov,146325,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,2,2,USA,united-states,1
11191,303184281,9466,0,private,240767,hs-grad,9,never-married,other-service,not-in-family,white,female,0,0,1,USA,united-states,0
22229,369287837,8511,2,private,118536,hs-grad,9,divorced,machine-op-inspct,other-relative,black,male,0,0,2,USA,united-states,0
20732,420084973,1281,3,private,160440,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,3,USA,united-states,1
4217,308361331,4651,3,private,246519,10th,6,married-civ-spouse,handlers-cleaners,husband,white,male,1,0,2,USA,united-states,0
11509,305433488,3489,2,private,185567,hs-grad,9,divorced,machine-op-inspct,unmarried,white,male,0,0,2,USA,united-states,1
23787,943307930,4588,2,private,222142,some-college,10,married-civ-spouse,craft-repair,husband,white,male,1,0,2,USA,united-states,0
20848,628279109,2493,1,private,218955,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,2,USA,united-states,0
14739,214382312,5475,3,private,260106,hs-grad,9,widowed,sales,not-in-family,white,female,0,0,1,USA,united-states,0
6870,741718508,1332,1,state-gov,227931,some-college,10,divorced,adm-clerical,not-in-family,white,female,0,0,2,USA,united-states,0
11931,300154869,189,4,local-gov,158412,hs-grad,9,widowed,adm-clerical,not-in-family,white,female,0,0,2,USA,united-states,0
21682,796168390,605,2,private,234891,some-college,10,divorced,handlers-cleaners,not-in-family,amer-indian-eskimo,female,0,0,2,USA,united-states,0
26167,425201038,8360,0,private,167031,some-college,10,never-married,other-service,other-relative,other,female,0,0,1,ECU,ecuador,0
18388,455342043,7035,1,private,309974,some-college,10,separated,tech-support,unmarried,black,female,0,0,2,USA,united-states,0
23083,922730196,6642,1,private,72887,some-college,10,married-civ-spouse,sales,husband,asian-pac-islander,male,0,0,2,USA,united-states,1
21202,670049195,7461,1,self-emp-not-inc,212041,bachelors,13,never-married,sales,not-in-family,white,male,0,0,3,USA,united-states,0
9334,471717424,8171,0,,180339,some-college,10,never-married,,own-child,white,female,0,0,1,USA,united-states,0
3511,620447745,1548,0,private,157541,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,3,USA,united-states,0
12863,627196545,2520,0,private,160261,masters,14,never-married,prof-specialty,not-in-family,asian-pac-islander,male,0,0,0,FRA,france,0
433,642398942,6956,2,private,146906,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,0,3,USA,united-states,1
6603,605521421,3211,2,self-emp-not-inc,175120,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states,1
27786,767061185,6684,2,self-emp-not-inc,34378,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,0,0,3,USA,united-states,0
18331,468607857,5427,2,private,214781,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states,1
8760,784057097,4241,3,state-gov,30219,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,3,0,2,USA,united-states,1
20004,497898076,7948,4,,247986,prof-school,15,married-civ-spouse,,husband,white,male,0,0,1,USA,united-states,1
10884,230617911,6051,3,private,142719,hs-grad,9,married-spouse-absent,farming-fishing,not-in-family,white,male,0,0,4,USA,united-states,0
26879,478788417,1705,1,private,608881,hs-grad,9,never-married,craft-repair,not-in-family,black,male,0,0,2,USA,united-states,0
14858,450726598,8804,2,private,222596,hs-grad,9,divorced,tech-support,not-in-family,white,male,0,0,3,USA,united-states,1
11097,982542995,6074,1,private,295591,5th-6th,3,married-spouse-absent,craft-repair,not-in-family,white,male,0,0,2,MEX,mexico,0
1535,203292854,4652,4,private,178353,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,3,USA,united-states,1
2878,304385535,5423,1,private,179579,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,2,USA,united-states,0
5140,420035076,2593,1,private,232666,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states,0
16215,228055400,6473,4,private,232337,7th-8th,4,divorced,machine-op-inspct,not-in-family,white,male,0,0,2,USA,united-states,0
19707,490397451,7333,4,private,117299,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,2,USA,united-states,1
1272,158019781,585,0,private,145964,some-college,10,married-civ-spouse,craft-repair,husband,white,male,2,0,3,USA,united-states,1
21131,926021709,5658,1,private,246449,hs-grad,9,never-married,other-service,not-in-family,white,male,1,0,3,USA,united-states,0
6307,325959812,7456,0,private,35065,hs-grad,9,never-married,transport-moving,not-in-family,black,male,0,0,1,USA,united-states,0
18127,262101005,527,1,private,181667,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,2,0,3,CAN,canada,0
5836,785802198,3168,4,self-emp-not-inc,113440,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,4,0,2,USA,united-states,1
18651,977188321,3725,1,private,81540,hs-grad,9,never-married,handlers-cleaners,not-in-family,white,male,0,0,2,USA,united-states,0
3652,451973634,7850,3,private,174662,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,1,USA,united-states,0
19763,160985605,4070,3,private,355954,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,0,3,USA,united-states,1
6340,205519409,4710,1,private,330715,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,4,0,2,USA,united-states,1
1616,371985429,8111,2,private,145441,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,2,0,3,USA,united-states,1
12129,898725919,6476,4,self-emp-not-inc,27886,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,2,USA,united-states,1
7363,476786487,1500,0,private,104439,some-college,10,never-married,adm-clerical,not-in-family,white,female,0,0,3,USA,united-states,0
5139,336962320,5859,4,self-emp-not-inc,98015,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,4,0,1,USA,united-states,1
17189,510112241,7479,2,private,278576,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,3,USA,united-states,1
7801,567762169,8224,2,local-gov,215862,doctorate,16,married-civ-spouse,exec-managerial,husband,white,male,3,0,2,USA,united-states,1
11798,325637020,3033,2,federal-gov,265604,hs-grad,9,married-civ-spouse,craft-repair,husband,black,male,0,0,2,USA,united-states,0
26270,489210769,2134,4,private,179781,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,2,USA,united-states,1
26209,550019633,4376,1,private,144949,10th,6,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states,1
25835,405020085,5627,1,private,231826,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,2,USA,united-states,1
1334,764326795,7562,4,,365996,hs-grad,9,widowed,,unmarried,white,female,2,0,2,USA,united-states,1
9322,757352902,6312,4,self-emp-not-inc,144071,5th-6th,3,married-civ-spouse,other-service,husband,white,male,1,0,0,SLV,el-salvador,0
25619,424502983,4934,1,private,100135,bachelors,13,separated,prof-specialty,unmarried,white,female,0,0,1,USA,united-states,0
20345,752048039,4775,1,private,55291,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states,1
20090,381252123,4800,4,private,146159,7th-8th,4,widowed,priv-house-serv,not-in-family,black,female,0,2,1,USA,united-states,0
5714,627400350,4171,3,private,102308,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,3,USA,united-states,1
11712,920688194,6396,1,private,279608,5th-6th,3,married-civ-spouse,farming-fishing,husband,white,male,0,0,2,MEX,mexico,0
24896,209235162,9688,2,private,92733,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states,1
14432,203827117,8105,1,local-gov,246463,bachelors,13,divorced,prof-specialty,not-in-family,white,male,0,0,3,USA,united-states,0
21906,405854968,5720,3,local-gov,273402,7th-8th,4,married-civ-spouse,transport-moving,husband,white,male,0,3,2,USA,united-states,0
17062,609316681,9479,3,private,90363,assoc-acdm,12,married-civ-spouse,exec-managerial,husband,white,male,0,0,2,USA,united-states,1
11940,632220119,9233,2,private,37718,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states,1
4556,501488718,6107,,private,175674,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,3,USA,united-states,1
19032,344216338,1183,1,private,121321,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,0,0,2,USA,united-states,0
8336,410161927,4804,4,state-gov,186376,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,2,0,2,USA,united-states,1
11732,911706548,9972,0,local-gov,276840,12th,8,never-married,other-service,own-child,black,male,0,0,0,USA,united-states,0
14760,742343220,4664,2,private,227890,some-college,10,divorced,craft-repair,not-in-family,white,male,0,0,3,USA,united-states,1
11501,534606634,8536,4,self-emp-not-inc,252431,some-college,10,married-civ-spouse,prof-specialty,wife,white,female,0,0,0,USA,united-states,0
26900,107257052,1324,0,local-gov,145112,bachelors,13,never-married,prof-specialty,own-child,white,female,0,0,2,USA,united-states,0
6812,836610855,2426,1,private,156743,masters,14,married-civ-spouse,sales,husband,white,male,0,0,4,USA,united-states,1
18679,692054485,7347,4,private,207281,some-college,10,married-civ-spouse,protective-serv,husband,white,male,0,0,0,USA,united-states,0
5194,154356770,4287,0,private,60331,some-college,10,never-married,transport-moving,not-in-family,white,male,0,0,3,USA,united-states,0
21156,921418798,1416,2,private,48087,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,2,USA,united-states,1
20205,408229045,3485,0,local-gov,191921,bachelors,13,never-married,craft-repair,own-child,white,male,0,0,1,USA,united-states,0
