RowId,CustomerId,CustomerName,CreditScore,Geography,Income_Category,Gender,DateOfBirth,Marital_Status,Balance,Card_Category,EstimatedSalary,Exited
1,15634602,Laura Gomez,619,France,$60K - $80K,Female,1/1/1957,Married,0,Blue,101348.88,YES
2,15647311,Park Min Woo,608,Spain,Less than $40K,M,1/1/1954,Single,83807.86,Blue,112542.58,NO
3,15619304,Michael Chen,502,France,$80K - $120K,Male,1/1/1965,Married,159660.8,Blue,113931.57,YES
4,15701354,Sofia Rossi,699,France,Less than $40K,F,1/1/1984,Unknown,0,Blue,93826.63,NO
5,15737888,Rachel Sanders,850,Spain,$60K - $80K,Male,1/1/1981,Married,125510.82,Blue,79084.1,NO
6,15574012,Kenji Nakamura,645,Spain,$40K - $60K,Male,1/1/1967,Married,113755.78,Blue,149756.71,YES
7,15592531,Emily Watson,822,France,$120K +,Male,1/1/1971,Married,0,Gold,10062.8,NO
8,15656148,David Lee,376,Germany,$60K - $80K,Female,1/1/1985,Unknown,115046.74,Silver,119346.88,YES
9,15792365,Ana Rodriguez,501,France,$60K - $80K,Male,1/1/1974,Single,142051.07,Blue,74940.5,NO
10,15592389,Tom Wilson,684,France,$80K - $120K,Male,1/1/1950,Single,134603.88,Blue,71725.73,NO
11,15767821,Olivia Green,528,France,$120K +,Male,1/1/1983,Unknown,102016.72,Blue,80181.12,NO
12,15737173,James Chen,497,Spain,$40K - $60K,Male,1/1/1976,Married,0,Blue,76390.01,NO
13,15632264,Lila Patel,476,France,$80K - $120K,Female,1/1/1959,Single,0,Blue,26260.98,NO
14,15691483,Marco Rossi,549,France,$60K - $80K,Female,1/1/1952,Unknown,0,Blue,190857.79,NO
15,15600882,Sarah Brown,635,Spain,Less than $40K,Female,1/1/1987,Married,0,Blue,65951.65,NO
16,15643966,,616,Germany,$80K - $120K,Male,1/1/1946,Unknown,143129.41,Blue,64327.26,NO
17,15737452,Sarah Lee,653,Germany,$80K - $120K,Male,1/1/1980,Single,132602.88,Blue,5097.67,YES
18,15788218,Alex Kim,549,Spain,$80K - $120K,Female,1/1/1946,Married,0,Blue,14406.41,NO
19,15661507,Maria Hernandez,587,Spain,$40K - $60K,Male,1/1/1949,Married,0,Blue,158684.81,NO
20,15568982,John Smith,726,France,Unknown,Female,1/1/1985,Married,0,Blue,54724.03,NO
21,15577657,Mark Johnson,732,France,$60K - $80K,Male,1/1/1982,Divorced,0,Blue,170886.17,NO
22,15597945,Amanda Chen,636,Spain,Less than $40K,Female,1/1/1979,Married,0,Blue,138555.46,NO
23,15699309,David Lee,510,Spain,$40K - $60K,F,1/1/1949,Married,0,Blue,118913.53,YES
24,15725737,Nana Kwon,669,France,Less than $40K,Male,1/1/1954,Single,0,Blue,8487.75,NO
25,15625047,Tom Hanks,846,France,$80K - $120K,Female,1/1/1951,Married,0,Blue,187616.16,NO
26,15738191,Emma Watson,577,France,Less than $40K,Male,1/1/1969,Single,0,Blue,124508.29,NO
27,15736816,James Kim,756,Germany,$40K - $60K,Male,1/1/1976,Unknown,136815.64,Blue,170041.95,NO
28,15700772,John Smith,571,France,$60K - $80K,Male,1/1/1986,Married,0,Blue,38433.35,NO
29,15728693,Sarah Lee,574,Germany,Unknown,Female,1/1/1989,Single,141349.43,Blue,100187.43,NO
30,15656300,Maria Garcia,411,France,$40K - $60K,Male,1/1/1965,Married,59697.17,Blue,53483.21,NO
31,15589475,David Lee,591,Spain,$80K - $120K,F,1/1/1989,Married,0,Blue,140469.38,YES
32,15706552,Emily Davis,533,France,$60K - $80K,Male,1/1/1963,Married,85311.7,Blue,156731.91,NO
33,15750181,James Wilson,553,Germany,$60K - $80K,Male,1/1/1970,Married,110112.54,Blue,81898.81,NO
34,15659428,Fatima Ahmed,520,Spain,Less than $40K,Female,1/1/1952,Married,0,Blue,34410.55,NO
35,15732963,Liam Nguyen,722,Spain,$80K - $120K,Female,1/1/1946,Married,0,Blue,142033.07,NO
36,15794171,Giulia Rossi,475,France,Less than $40K,Female,1/1/1951,Single,134264.04,Blue,27822.99,YES
37,15788448,Putra Wijaya,490,Spain,Less than $40K,Male,1/1/1970,Married,145260.23,Blue,114066.77,NO
38,15729599,Kim Min-ji,804,Spain,Less than $40K,Female,1/1/1976,Married,76548.6,Gold,98453.45,NO
39,15717426,John Smith,850,France,$40K - $60K,Male,1/1/1973,Unknown,0,Blue,40812.9,NO
40,15585768,Emily Johnson,582,Germany,Unknown,Female,1/1/1943,Married,70349.48,Blue,178074.04,NO
41,15619360,David Lee,472,Spain,$80K - $120K,Male,1/1/1980,Single,0,Blue,70154.22,NO
42,15738148,Sarah Brown,465,France,$40K - $60K,Female,1/1/1985,Married,122522.32,Blue,181297.65,YES
43,15687946,Michael Wong,556,France,$40K - $60K,Female,1/1/1957,Single,117419.35,Silver,94153.83,NO
44,15755196,Jessica Chen,834,France,$60K - $80K,F,1/1/1959,Married,131394.56,Blue,194365.76,YES
45,15684171,Ken Tanaka,660,Spain,Unknown,M,1/1/1975,Single,155931.11,Blue,158338.39,NO
46,15754849,Maria Garcia,776,Germany,$80K - $120K,F,1/1/1976,Single,109421.13,Blue,126517.46,NO
47,15602280,Rodrigo Oliveira,829,Germany,$60K - $80K,Female,1/1/1996,Married,112045.67,Blue,119708.21,YES
48,15771573,Olivia Kim,637,Germany,$40K - $60K,Female,1/1/1968,Married,137843.8,Blue,117622.8,YES
49,15766205,Robert Mueller,550,Germany,$80K - $120K,Male,1/1/1951,Married,103391.38,Blue,90878.13,NO
50,15771873,John Smith,776,Germany,$80K - $120K,Female,1/1/1954,Single,103769.22,Blue,194099.12,NO
51,15616550,Sarah Lee,698,Germany,Less than $40K,F,1/1/1957,Married,116363.37,Blue,198059.16,NO
52,15768193,Michael Wong,585,Germany,Less than $40K,Male,1/1/1964,Married,146050.97,Blue,86424.57,NO
53,15683553,Lisa Chen,788,France,Less than $40K,Female,1/1/1977,Married,0,Blue,116978.19,NO
54,15702298,David Kim,655,Germany,$120K +,Male,1/1/1977,Married,125561.97,Blue,164040.94,YES
55,15569590,Emily Wong,601,Germany,$120K +,F,1/1/1978,Married,98495.72,Blue,40014.76,YES
56,15760861,Mark Tan,619,France,Less than $40K,Male,1/1/1955,Unknown,125211.92,Blue,113410.49,NO
57,15630053,Emma Lee,656,France,Less than $40K,Male,1/1/1966,Single,127864.4,Blue,87107.57,NO
58,15647091,George Chen,725,Germany,$40K - $60K,Male,1/1/1988,Married,75888.2,Blue,45613.75,NO
59,15623944,Sophia Kim,511,Spain,Unknown,Female,1/1/1982,Married,0,Blue,1643.11,YES
60,15804771,Alex Ng,614,France,$60K - $80K,Male,1/1/1968,Single,40685.92,Blue,46775.28,NO
61,15651280,Alice Smith,742,Germany,$80K - $120K,Male,1/1/1982,Married,136857,Blue,84509.57,NO
62,15773469,Bob Johnson,687,Germany,$60K - $80K,Female,1/1/1975,Married,152328.88,Silver,126494.82,NO
63,15702014,Cindy Chen,555,Spain,$60K - $80K,Male,1/1/1952,Divorced,56084.69,Blue,178798.13,NO
64,15751208,David Lee,684,Spain,$120K +,Male,1/1/1951,Single,78707.16,Blue,99398.36,NO
65,15592461,Emily Kim,603,Germany,$120K +,Male,1/1/1948,Single,109166.37,Blue,92840.67,NO
66,15789484,Frank Li,751,Germany,$80K - $120K,Female,1/1/1971,Single,169831.46,Silver,27758.36,NO
67,15696061,Gina Lee,581,Germany,$60K - $80K,Female,1/1/1967,Married,101633.04,Blue,110431.51,NO
68,15641582,Henry Kim,735,Germany,Less than $40K,Male,1/1/1979,Single,123180.01,Blue,196673.28,NO
69,15638424,Isabella Chen,661,Germany,$60K - $80K,Female,1/1/1958,Married,150725.53,Blue,113656.85,NO
70,15755648,Jack Smith,675,France,$80K - $120K,Female,1/1/1970,Married,98373.26,Blue,18203,NO
71,15703793,Katie Johnson,738,Germany,$120K +,Male,1/1/1954,Single,133745.44,Blue,28373.86,YES
72,15620344,,813,France,Less than $40K,Male,1/1/1973,Married,0,Blue,33953.87,NO
73,15812518,John Doe,657,Spain,$60K - $80K,Female,1/1/1959,Unknown,163607.18,Blue,44203.55,NO
74,15779052,Jane Smith,604,Germany,$80K - $120K,Female,1/1/1975,Married,157780.84,Blue,58426.81,NO
75,15770811,Michael Johnson,519,France,$60K - $80K,Male,1/1/1952,Single,0,Blue,145562.4,NO
76,15780961,Sarah Lee,735,France,$80K - $120K,Female,1/1/1977,Single,178718.19,Blue,22388,NO
77,15614049,David Kim,664,France,Less than $40K,Male,1/1/1972,Single,0,Blue,139161.64,NO
78,15662085,Emily Davis,678,France,Less than $40K,Female,1/1/1976,Single,0,Blue,148210.64,NO
79,15575185,Jose Perez,757,Spain,$60K - $80K,Male,1/1/1976,Divorced,77253.22,Blue,194239.63,NO
80,15803136,Emma Wilson,416,Germany,$80K - $120K,Female,1/1/1965,Married,122189.66,Blue,98301.61,NO
81,15706021,Ryan Chen,665,France,$60K - $80K,Female,1/1/1985,Married,96645.54,Blue,171413.66,NO
82,15663706,Sofia Rodriguez,777,France,$120K +,Female,1/1/1969,Unknown,0,Blue,136458.19,YES
83,15641732,William Brown,543,France,$40K - $60K,Female,1/1/1973,Married,0,Blue,26019.59,NO
84,15701164,Tracey Gibson,506,France,Unknown,Female,1/1/1963,Married,90307.62,Blue,159235.29,NO
85,15738751,Marissa Rhodes,493,France,$80K - $120K,Female,1/1/1987,Divorced,0,Blue,1907.66,NO
86,15805254,Tracy Davis,652,Spain,$60K - $80K,Female,1/1/1960,Married,0,Blue,114675.75,NO
87,15762418,Taylor White,750,Spain,$120K +,Male,1/1/1970,Single,121681.82,Blue,128643.35,YES
88,15625759,Stephanie Martinez,729,France,Less than $40K,Male,1/1/1957,Single,0,Blue,151869.35,NO
89,15622897,John Ortega,646,France,$60K - $80K,Female,1/1/1973,Single,0,Blue,93251.42,YES
90,15767954,Shaun White,635,Germany,$120K +,Female,1/1/1967,Married,81623.67,Blue,156791.36,NO
91,15757535,Charles Anderson,647,Spain,Less than $40K,Female,1/1/1957,Single,0,Blue,174205.22,YES
92,15731511,Mrs. Heather Hall,808,France,$80K - $120K,Male,1/1/1957,Single,118626.55,Blue,147132.46,NO
93,15809248,Rhonda Martin,524,France,$40K - $60K,Female,1/1/1973,Single,0,Blue,109614.57,NO
94,15640635,Elizabeth Butler,769,France,$80K - $120K,Male,1/1/1972,Single,0,Blue,172290.61,NO
95,15676966,Kendra Peters,730,Spain,Unknown,Male,1/1/1970,Married,0,Blue,85982.47,NO
96,15699461,Olivia Cruz,515,Spain,Less than $40K,Male,1/1/1983,Married,176273.95,Blue,121277.78,NO
97,15738721,Veronica Bryant DDS,773,Spain,$40K - $60K,Male,1/1/1960,Married,102827.44,Blue,64595.25,NO
